,c1
1998-11,13.04
1998-12,11.31
1999-01,12.49
1999-02,12.02
1999-03,14.68
1999-04,17.3
1999-05,17.77
1999-06,17.92
1999-07,20.1
1999-08,21.28
1999-09,23.79
1999-10,22.67
1999-11,24.77
1999-12,26.09
2000-01,27.01
2000-02,29.3
2000-03,29.89
2000-04,25.54
2000-05,28.81
2000-06,31.53
2000-07,29.72
2000-08,31.14
2000-09,33.87
2000-10,32.93
2000-11,34.26
2000-12,28.4
2001-01,29.26
2001-02,29.64
2001-03,27.27
2001-04,27.62
2001-05,28.68
2001-06,27.59
2001-07,26.47
2001-08,27.31
2001-09,25.69
2001-10,22.21
2001-11,19.67
2001-12,19.4
2002-01,19.73
2002-02,20.76
2002-03,24.44
2002-04,26.26
2002-05,26.95
2002-06,25.55
2002-07,26.94
2002-08,28.2
2002-09,29.67
2002-10,28.86
2002-11,26.19
2002-12,29.39
2003-01,32.7
2003-02,35.73
2003-03,33.16
2003-04,28.14
2003-05,28.07
2003-06,30.52
2003-07,30.7
2003-08,31.6
2003-09,28.31
2003-10,30.35
2003-11,31.06
2003-12,32.14
2004-01,34.22
2004-02,34.5
2004-03,36.72
2004-04,36.62
2004-05,40.28
2004-06,38.05
2004-07,40.81
2004-08,44.88
2004-09,45.94
2004-10,53.09
2004-11,48.48
2004-12,43.26
2005-01,46.85
2005-02,48.05
2005-03,54.63
2005-04,53.22
2005-05,49.87
2005-06,56.42
2005-07,59.03
2005-08,64.99
2005-09,65.55
2005-10,62.27
2005-11,58.34
2005-12,59.45
2006-01,65.54
2006-02,61.93
2006-03,62.97
2006-04,70.16
2006-05,70.96
2006-06,70.97
2006-07,74.46
2006-08,73.08
2006-09,63.9
2006-10,59.14
2006-11,59.4
2006-12,62.09
2007-01,54.35
2007-02,59.39
2007-03,60.74
2007-04,64.04
2007-05,63.53
2007-06,67.53
2007-07,74.15
2007-08,72.36
2007-09,79.63
2007-10,85.66
2007-11,94.63
2007-12,91.74
2008-01,92.93
2008-02,95.35
2008-03,105.42
2008-04,112.46
2008-05,125.46
2008-06,134.02
2008-07,133.48
2008-08,116.69
2008-09,103.76
2008-10,76.72
2008-11,57.44
2008-12,42.04
2009-01,41.92
2009-02,39.26
2009-03,48.06
2009-04,49.95
2009-05,59.21
2009-06,69.7
2009-07,64.29
2009-08,71.14
2009-09,69.47
2009-10,75.82
2009-11,78.15
2009-12,74.6
2010-01,78.4
2010-02,76.45
2010-03,81.29
2010-04,84.58
2010-05,74.12
2010-06,75.41
2010-07,76.38
2010-08,76.67
2010-09,75.55
2010-10,81.95
2010-11,84.32
2010-12,89.23
2011-01,89.58
2011-02,89.74
2011-03,102.98
2011-04,110.04
2011-05,101.36
2011-06,96.29
2011-07,97.34
2011-08,86.34
2011-09,85.61
2011-10,86.43
2011-11,97.16
2011-12,98.58
2012-01,100.32
2012-02,102.26
2012-03,106.21
2012-04,103.35
2012-05,94.72
2012-06,82.41
2012-07,87.93
2012-08,94.16
2012-09,94.56
2012-10,89.57
2012-11,86.73
2012-12,88.25
2013-01,94.83
2013-02,95.32
2013-03,92.96
2013-04,92.07
2013-05,94.8
2013-06,95.8
2013-07,104.7
2013-08,106.54
2013-09,106.24
2013-10,100.55
2013-11,93.93
2013-12,97.89
2014-01,94.86
2014-02,100.68
2014-03,100.51
2014-04,102.04
2014-05,101.8
2014-06,105.15
2014-07,102.39
2014-08,96.08
2014-09,93.03
2014-10,84.34
2014-11,75.81
2014-12,59.29
2015-01,47.33
2015-02,50.73
2015-03,47.85
2015-04,54.63
2015-05,59.37
2015-06,59.83
2015-07,50.93
2015-08,42.89
2015-09,45.47
2015-10,46.25
2015-11,42.92
2015-12,37.33
2016-01,31.78
2016-02,30.62
2016-03,37.96
2016-04,41.13
2016-05,46.8
2016-06,48.84
2016-07,44.8
2016-08,44.8
2016-09,45.23
2016-10,49.87
2016-11,45.87
2016-12,52.17
2017-01,52.61
2017-02,53.46
2017-03,49.67
2017-04,51.12
2017-05,48.54
2017-06,45.2
2017-07,46.68
2017-08,48.06
2017-09,49.88
2017-10,51.69
2017-11,56.54
2017-12,57.95
2018-01,63.55
2018-02,62.16
2018-03,62.87
2018-04,66.33
2018-05,69.89
2018-06,67.32
2018-07,70.74
2018-08,67.85
2018-09,70.07
2018-10,70.76
2018-11,56.6
2018-12,48.68
2019-01,51.38
2019-02,55.01
2019-03,58.17
2019-04,63.88
2019-05,60.77
2019-06,54.71
2019-07,57.54
2019-08,54.84
2019-09,56.88
2019-10,54.01
2019-11,57.12
2019-12,59.86
2020-01,57.53
2020-02,50.54
2020-03,30.45
2020-04,16.7
2020-05,28.53
2020-06,38.31
2020-07,40.77
2020-08,42.39
2020-09,39.63
2020-10,39.56
2020-11,41.13
2020-12,47.07
2021-01,52.1
2021-02,59.06
2021-03,62.36
2021-04,61.7
2021-05,65.16
2021-06,71.35
2021-07,72.43
2021-08,67.71
2021-09,71.55
2021-10,81.22
2021-11,79.18
2021-12,71.69
2022-01,82.98
2022-02,91.63
2022-03,108.26
2022-04,101.64
2022-05,109.26
2022-06,114.34
2022-07,99.39
2022-08,91.48
2022-09,83.8
2022-10,87.03
2022-11,84.39
2022-12,76.52
2023-01,78.16
2023-02,76.86
2023-03,73.37
2023-04,79.44
2023-05,71.62
2023-06,70.27
2023-07,76.03
2023-08,81.32
2023-09,89.43
2023-10,85.47
2023-11,77.38
2023-12,72.12
2024-01,73.86
2024-02,76.61
2024-03,80.41
2024-04,85.56
